"GO.ID","Term","Annotated","Significant","Expected","weight01","Fisher_p","padj","Lineage","Condition","Ontology","N_focal","N_universe"
"GO:0006399","tRNA metabolic process",5,2,0.65,"0.116",0.116,1,"Trebouxia","Intensified","BP",105,245
"GO:0090407","organophosphate biosynthetic process",7,2,0.9,"0.122",0.122,1,"Trebouxia","Intensified","BP",105,245
"GO:0170034","L-amino acid biosynthetic process",6,2,0.78,"0.161",0.161,1,"Trebouxia","Intensified","BP",105,245
"GO:0170038","proteinogenic amino acid biosynthetic process",6,2,0.78,"0.161",0.161,1,"Trebouxia","Intensified","BP",105,245
"GO:0006412","translation",33,5,4.26,"0.386",0.386,1,"Trebouxia","Intensified","BP",105,245
"GO:0006796","phosphate-containing compound metabolic process",12,2,1.55,"0.413",0.413,1,"Trebouxia","Intensified","BP",105,245
"GO:0006520","amino acid metabolic process",13,3,1.68,"0.469",0.469,1,"Trebouxia","Intensified","BP",105,245
"GO:0009058","biosynthetic process",99,15,12.79,"0.508",0.508,1,"Trebouxia","Intensified","BP",105,245
"GO:0019538","protein metabolic process",56,8,7.24,"0.534",0.534,1,"Trebouxia","Intensified","BP",105,245
"GO:0009165","nucleotide biosynthetic process",6,1,0.78,"0.552",0.552,1,"Trebouxia","Intensified","BP",105,245
"GO:0006260","DNA replication",6,1,0.78,"0.552",0.552,1,"Trebouxia","Intensified","BP",105,245
"GO:0000398","mRNA splicing, via spliceosome",6,1,0.78,"0.552",0.552,1,"Trebouxia","Intensified","BP",105,245
"GO:0009056","catabolic process",7,1,0.9,"0.610",0.61,1,"Trebouxia","Intensified","BP",105,245
"GO:0036211","protein modification process",7,1,0.9,"0.610",0.61,1,"Trebouxia","Intensified","BP",105,245
"GO:0006457","protein folding",7,1,0.9,"0.610",0.61,1,"Trebouxia","Intensified","BP",105,245
"GO:0080090","regulation of primary metabolic process",9,1,1.16,"0.704",0.704,1,"Trebouxia","Intensified","BP",105,245
"GO:0060255","regulation of macromolecule metabolic process",10,1,1.29,"0.742",0.742,1,"Trebouxia","Intensified","BP",105,245
